abbreviation	taxid_code	Species_name	Common_name	Order	Class	Taxonomic_Classification	Source
PolNub	54969	Polypedilum_nubifer		Diptera	Insecta	Diptera	OrthoDB 10v1
PolVan	319348	Polypedilum_vanderplanki	sleeping chironomid	Diptera	Insecta	Diptera	OrthoDB 10v1
PseGra	219809	Pseudomyrmex_gracilis	Elongate twig ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
RhaZep	28612	Rhagoletis_zephyria	snowberry fruit fly	Diptera	Insecta	Diptera	OrthoDB 10v1
RhoPad	40932	Rhopalosiphum_padi	Birdcherry+AC0oav/9- aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
RhoPro	13249	Rhodnius_prolixus		Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
SarSca	52283	Sarcoptes_scabiei	itch mite	Sarcoptiformes	Arachnida	Arachnida	OrthoDB 10v1
SolInv	13686	Solenopsis_invicta	red fire ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
SpoFru	7108	Spodoptera_frugiperda	Fall armyworm	Lepidoptera	Insecta	Lepidoptera	https://www.biorxiv.org/content/10.1101/671560v4
SpoLit	69820	Spodoptera_litura	tobacco cutworm	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
SteMim	407821	Stegodyphus_mimosarum	African social velvet spider	Araneae	Arachnida	Arachnida	OrthoDB 10v1
StoCal	35570	Stomoxys_calcitrans	stable fly	Diptera	Insecta	Diptera	OrthoDB 10v1
StrMar	126957	Strigamia_maritima		Geophilomorpha	Chilopoda	Geophilomorpha	OrthoDB 10v1
TetUrt	32264	Tetranychus_urticae	two+AC0spott//0- spider mite	Trombidiformes	Arachnida	Arachnida	OrthoDB 10v1
TigCal	6832	Tigriopus_californicus		Harpacticoida+//0Awv/9AKA-	Crustacea	Crustacea	OrthoDB 10v1
TraSep	34720	Trachymyrmex_septentrionalis		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
TriCas	7070	Tribolium_castaneum	red flour beetle	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1
TriNix	7111	Trichoplusia_ni	Cabbage looper	Lepidoptera	Insecta	Lepidoptera	NCBI
TriPre	7493	Trichogramma_pretiosum		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
TroMer	418985	Tropilaelaps_mercedesae		Mesostigmata	Arachnida	Arachnida	OrthoDB 10v1
VarDes	109461	Varroa_destructor		Mesostigmata	Arachnida	Arachnida	i5k
VarJac	62625	Varroa_jacobsoni		Mesostigmata	Arachnida	Arachnida	OrthoDB 10v1
VolEme	411798	Vollenhovia_emeryi		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
WasAur	64793	Wasmannia_auropunctata	electric ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
ZeuCuc	28588	Zeugodacus_cucurbitae	melon fly	Diptera	Insecta	Diptera	OrthoDB 10v1
ZooNev	136037	Zootermopsis_nevadensis		Blattodea	Insecta	Blattodea	OrthoDB 10v1
ParHaw	317513	Parhyale_hawaiensis	amphipods	Amphipoda	Crustacea	Crustacea	Pavlopoulos
BomTer	30195	Bombus_terrestris		Hymenoptera	Insecta	Hymenoptera	Insectbase
ApiDor	7462	Apis_dorsata		Hymenoptera	Insecta	Hymenoptera	Insectbase
ApiFlo	7463	Apis_florea		Hymenoptera	Insecta	Hymenoptera	Insectbase
NylFul	613905	Nylanderia_fulva		Hymenoptera	Insecta	Hymenoptera	i5k
HelVir	7102	Heliothis_virescens		Lepidoptera	Insecta	Lepidoptera	i5k
CliHoo	325643	Clitarchus_hookeri		Phasmatodea	Insecta	Phasmatodea	i5k
HolDuo	1983282	Holacanthella_duospinosa		Poduromorpha	Insecta	Poduromorpha	i5k
BacDor	27457	Bactrocera_dorsalis		Diptera	Insecta	Diptera	i5k
LerAcc	691651	Lerema_accius		Lepidoptera	Insecta	Lepidoptera	Lepbase
CalCec	691633	Calycopis_cecrops		Lepidoptera	Insecta	Lepidoptera	Lepbase
BicAny	110368	Bicyclus_anynana		Lepidoptera	Insecta	Lepidoptera	Lepbase
OstFur	93504	Ostrinia_furnacalis		Lepidoptera	Insecta	Lepidoptera	Lepbase
GalMel	7137	Galleria_mellonella		Lepidoptera	Insecta	Lepidoptera	Lepbase
